Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0,04582385;0,9848393;0,02010352;0;0;0;0;0;0
4;-0,04853544;1,002788;-0,04952522;-0,0357541;0,8359124;0,1129077;0;0;0
5;-0,1313909;0,9808807;-0,07636979;-0,03575404;0,8359125;0,1129077;0;0;0
6;0,07219134;0,9677749;0,03953915;-0,03599346;0,8355749;0,115027;0;0;0
7;0,234378;0,9229236;-0,04091159;-0,03599351;0,8355744;0,1150269;-0,06494151;0,8363993;0,3437417
8;0,1046711;0,9843761;-0,01630377;-0,03620633;0,8361092;0,1123285;-0,06494026;0,8363973;0,3437397
9;-0,07125665;0,999597;-0,06189056;-0,0366713;0,8370689;0,1123631;-0,06494156;0,836399;0,3437421
10;-0,08298962;0,9948368;-0,0534477;-0,03667155;0,8370692;0,1123631;-0,06494146;0,8363997;0,3437413
11;-0,07279509;0,9966905;-0,04208355;0,2855174;0,878983;-0,02951398;-0,06494148;0,836399;0,3437418
12;-0,07448255;0,992811;-0,03402944;0,3440219;0,9016224;0,1570765;-0,06402887;0,8379239;0,3368215
13;-0,07589742;0,9920184;-0,03417921;0,3397399;0,8857576;0,128825;-0,06386377;0,8364549;0,3379169
14;-0,07533949;0,9915571;-0,03316713;0,3397848;0,8845935;0,1329103;-0,06386369;0,8364541;0,3379171
15;-0,07494703;0,9914531;-0,03234618;0,3442438;0,8846813;0,1430464;-0,06386357;0,8364549;0,3379163
16;-0,07364749;0,9908174;-0,02986771;0,3543899;0,8853926;0,1612369;-0,0638635;0,8364528;0,3379174
17;-0,07262727;0,9904929;-0,02891259;0,3646632;0,8867713;0,1770247;-0,06386372;0,8364546;0,3379169
18;-0,07227597;0,990314;-0,02828639;0,3772902;0,8916686;0,1942286;-0,06386359;0,8364546;0,3379166
19;-0,07052733;0,9912864;-0,02713844;0,3332759;0,8613568;0,2038866;-0,06386342;0,8364537;0,3379167
20;-0,09138864;0,9869589;-0,02994012;-0,06237404;0,844013;0,1169914;-0,06403318;0,8350776;0,3397315
21;-0,07628787;0,9966044;-0,03513789;-0,06149974;0,8440378;0,1168434;0,179915;0,9472699;0,2387595
22;-0,07796684;0,997699;-0,03634691;-0,06156163;0,8444172;0,1162718;0,2037453;1,0018;0,2084693
23;0,04665221;1,001665;-0,007478106;-0,06156153;0,8444168;0,1162721;0,00368372;0,9241315;0,1369023
24;0,03887524;1,001874;-0,007082507;-0,06156154;0,8444169;0,1162721;0,02752197;0,9551762;0,1800922
25;0,01409843;1,004054;-0,01087789;-0,06152344;0,8447432;0,116255;0,03529276;0,9156035;0,2031296
26;0,01133535;1,004226;-0,0102141;-0,06390076;0,8420174;0,1190523;0,02142378;0,9107824;0,1937124
27;0,002883605;1,004861;-0,01304847;-0,06302895;0,844054;0,1174291;0,03232291;0,9158061;0,1958336
28;0,001360453;1,005934;-0,0140352;-0,06232794;0,8441324;0,1178773;0,008426286;0,9115064;0,1559111
29;0,004580959;1,006212;-0,01521952;-0,06278691;0,8439221;0,1179725;0,01587628;0,9426039;0,1576356
30;-0,009355905;1,006926;-0,01567967;-0,06363848;0,8433066;0,118543;-0,05701641;0,8518374;0,1990883
31;-0,02465641;1,010064;-0,0293396;-0,06306548;0,8431855;0,1184014;-0,06198367;0,8396043;0,1960576
32;0,1789038;0,9727383;-0,07620348;-0,07154877;0,8351135;0,121756;-0,06100304;0,8379048;0,1984874
33;0,01227512;1,015782;-0,05046647;-0,07154876;0,8351135;0,1217561;-0,06100305;0,8379045;0,1984873
