Timestamp;Event
3;MonsterInGaze
8;MonsterInGaze
9;MonsterInGaze
11;MonsterInGaze
12;MonsterInGaze
14;MonsterInGaze
25;MonsterInGaze
28;MonsterInGaze
32;MonsterInGaze
33;MonsterInGaze
44;MonsterInGaze
45;MonsterInGaze
72;ReadingClipboard
73;ReadingClipboard
74;ReadingClipboard
75;ReadingClipboard
76;ReadingClipboard
77;ReadingClipboard
78;ReadingClipboard
82;MonsterInGaze
145;MonsterInGaze
157;MonsterInGaze
172;MonsterInGaze
175;MonsterInGaze
181;MonsterInGaze
182;MonsterInGaze
183;MonsterInGaze
184;MonsterInGaze
185;MonsterInGaze
191;ReadingClipboard
192;ReadingClipboard
193;ReadingClipboard
194;ReadingClipboard
195;ReadingClipboard
196;ReadingClipboard
197;ReadingClipboard
198;ReadingClipboard
199;ReadingClipboard
202;MonsterInGaze
209;MonsterInGaze
217;MonsterInGaze
218;MonsterInGaze
219;MonsterInGaze
220;MonsterInGaze
221;MonsterInGaze
222;MonsterInGaze
223;MonsterInGaze
241;MonsterInGaze
242;MonsterInGaze
261;MonsterInGaze
272;MonsterInGaze
273;MonsterInGaze
274;MonsterInGaze
284;MonsterInGaze
286;MonsterInGaze
299;MonsterInGaze
324;MonsterInGaze
328;MonsterInGaze
333;MonsterInGaze
334;MonsterInGaze
335;MonsterInGaze
336;MonsterInGaze
337;MonsterInGaze
338;MonsterInGaze
